u,i,ts,label,idx
509,372,0.0,1,914
509,417,0.0,1,915
509,7,0.0,1,916
509,86,0.0,1,917
509,575,0.0,1,918
509,109,0.0,1,919
509,20,0.0,1,920
509,255,0.0,1,921
509,278,0.0,1,922
509,7,0.0,1,923
509,9,0.0,1,924
509,286,0.0,1,925
509,20,0.0,3,926
509,7,0.0,1,927
509,86,0.0,1,928
509,1,0.0,3,929
509,7,0.0,1,930
509,92,0.0,1,931
509,176,0.0,1,932
509,20,0.0,1,933
509,20,0.0,1,934
509,1,0.0,3,935
509,86,0.0,1,936
509,48,0.0,1,937
509,272,0.0,1,938
509,417,0.0,3,939
509,552,0.0,3,940
509,552,0.0,3,941
509,417,0.0,1,942
509,255,0.0,3,943
509,20,0.0,1,944
509,417,0.0,3,945
509,42,0.0,3,946
509,42,0.0,3,947
509,20,0.0,1,948
509,236,0.0,1,949
509,236,0.0,1,950
509,86,0.0,1,951
509,417,0.0,1,952
509,117,0.0,1,953
509,86,0.0,1,954
509,9,0.0,1,955
509,20,0.0,1,956
509,20,0.0,1,957
509,117,0.0,1,958
509,9,0.0,1,959
509,20,0.0,1,960
509,117,0.0,1,961
509,86,0.0,1,962
509,446,0.0,1,963
509,20,0.0,1,964
509,245,0.0,1,965
509,489,0.0,1,966
509,117,0.0,1,967
509,109,0.0,1,968
509,109,0.0,1,969
509,109,0.0,1,970
509,114,0.0,1,971
509,109,0.0,1,972
509,176,0.0,1,973
509,82,0.0,1,974
509,117,0.0,1,975
509,328,0.0,1,976
509,7,0.0,1,977
509,86,0.0,1,978
509,489,0.0,1,979
509,489,0.0,1,980
509,20,0.0,1,981
509,8,0.0,1,982
509,20,0.0,1,983
509,117,0.0,1,984
509,86,0.0,1,985
509,109,0.0,1,986
509,109,0.0,1,987
509,20,0.0,1,988
509,109,0.0,1,989
509,176,0.0,1,990
509,20,0.0,1,991
509,7,0.0,1,992
509,117,0.0,1,993
509,86,0.0,1,994
509,109,0.0,1,995
509,8,0.0,1,996
509,7,0.0,1,997
509,86,0.0,1,998
509,86,0.0,1,999
509,489,0.0,1,1000
509,489,0.0,1,1001
509,404,0.0,1,1002
509,236,0.0,1,1003
509,328,0.0,1,1004
509,236,0.0,1,1005
509,7,0.0,1,1006
509,421,0.0,1,1007
509,350,0.0,1,1008
509,345,0.0,1,1009
509,422,0.0,1,1010
509,42,0.0,1,1011
509,109,0.0,1,1012
509,117,0.0,1,1013
509,372,0.0,1,1014
509,417,0.0,1,1015
509,86,0.0,1,1016
509,41,0.0,1,1017
509,489,0.0,1,1018
509,328,0.0,1,1019
509,357,0.0,1,1020
509,489,0.0,1,1021
509,411,0.0,1,1022
509,176,0.0,1,1023
509,393,0.0,1,1024
509,42,0.0,1,1025
509,372,0.0,1,1026
509,323,0.0,1,1027
509,236,0.0,1,1028
509,246,0.0,1,1029
509,489,0.0,1,1030
509,422,0.0,1,1031
509,117,0.0,1,1032
509,372,0.0,1,1033
509,117,0.0,1,1034
509,237,0.0,1,1035
509,117,0.0,1,1036
509,327,0.0,1,1037
509,193,0.0,1,1038
509,101,0.0,1,1039
509,176,0.0,1,1040
509,417,0.0,1,1041
509,42,0.0,1,1042
509,109,0.0,1,1043
509,20,0.0,1,1044
509,353,0.0,1,1045
509,489,0.0,1,1046
509,237,0.0,1,1047
509,345,0.0,1,1048
509,109,0.0,1,1049
509,422,0.0,1,1050
509,109,0.0,1,1051
509,92,0.0,1,1052
509,92,0.0,1,1053
509,109,0.0,1,1054
509,212,0.0,1,1055
509,65,0.0,1,1056
509,42,0.0,1,1057
509,42,0.0,1,1058
509,7,0.0,1,1059
509,20,0.0,1,1060
509,421,0.0,1,1061
509,117,0.0,1,1062
168,26,0.0,1,1063
564,27,0.0,1,1064
564,36,0.0,1,1065
564,27,0.0,1,1066
564,36,0.0,1,1067
564,176,0.0,1,1068
564,36,0.0,1,1069
564,27,0.0,1,1070
564,62,0.0,1,1071
564,36,0.0,1,1072
564,22,0.0,1,1073
564,278,0.0,1,1074
564,62,0.0,1,1075
564,36,0.0,1,1076
564,27,0.0,1,1077
564,36,0.0,1,1078
564,36,0.0,1,1079
564,99,0.0,1,1080
564,27,0.0,1,1081
564,36,0.0,1,1082
564,278,0.0,1,1083
564,62,0.0,1,1084
564,36,0.0,1,1085
564,411,0.0,1,1086
564,36,0.0,1,1087
564,176,0.0,1,1088
564,27,0.0,1,1089
564,117,0.0,1,1090
564,176,0.0,1,1091
564,117,0.0,1,1092
564,176,0.0,1,1093
564,27,0.0,1,1094
564,328,0.0,1,1095
564,27,0.0,1,1096
564,62,0.0,1,1097
564,117,0.0,1,1098
564,27,0.0,1,1099
564,176,0.0,1,1100
564,27,0.0,1,1101
564,117,0.0,1,1102
564,278,0.0,1,1103
564,27,0.0,1,1104
564,176,0.0,1,1105
564,27,0.0,1,1106
564,27,0.0,1,1107
564,176,0.0,1,1108
564,27,0.0,1,1109
564,27,0.0,1,1110
564,278,0.0,1,1111
564,27,0.0,1,1112
564,27,0.0,1,1113
564,328,0.0,1,1114
564,176,0.0,1,1115
564,386,0.0,1,1116
564,27,0.0,1,1117
564,27,0.0,3,1118
564,176,0.0,3,1119
564,176,0.0,3,1120
564,176,0.0,1,1121
564,27,0.0,1,1122
564,176,0.0,1,1123
564,176,0.0,1,1124
564,27,0.0,1,1125
564,27,0.0,1,1126
564,27,0.0,1,1127
564,27,0.0,1,1128
564,278,0.0,1,1129
564,27,0.0,1,1130
564,193,0.0,1,1131
564,42,0.0,3,1132
564,42,0.0,3,1133
564,42,0.0,3,1134
564,42,0.0,3,1135
564,42,0.0,3,1136
564,176,0.0,1,1137
564,42,0.0,3,1138
564,42,0.0,3,1139
564,42,0.0,3,1140
302,340,0.0,1,1141
302,256,0.0,1,1142
302,129,0.0,1,1143
302,464,0.0,1,1144
302,319,0.0,1,1145
302,305,0.0,1,1146
302,251,0.0,1,1147
302,82,0.0,1,1148
